Feature 1,Feature 2,Output
1.5,4.97,2.2
2,4.97,2.2
3,4.97,2.2
4,4.97,2.2
1.5,4.97,2.2
2,4.97,2.2
3,4.97,2.2
4,4.97,2.2
5,4.97,2.2
1.5,4.97,2.3
2,4.97,2.3
4,4.97,2.3
5,4.97,2.3
2,4.97,2.3
3,4.97,2.3
4,4.97,2.3
5,4.97,2.3
1.5,5.74,2.2
2,5.74,2.2
3,5.74,2.2
4,5.74,2.2
1.5,5.74,2.2
2,5.74,2.2
3,5.74,2.2
4,5.74,2.2
5,5.74,2.2
1.5,5.74,2.3
2,5.74,2.3
3,5.74,2.3
4,5.74,2.3
5,5.74,2.3
2,5.74,2.3
3,5.74,2.3
4,5.74,2.3
5,5.74,2.3
1.5,5.74,2.2
3,5.74,2.2
4,5.74,2.2
5,5.74,2.2
1.5,5.74,2.2
2,5.74,2.2
3,5.74,2.2
4,5.74,2.2
5,5.74,2.2
1.5,4.21,1.2
2,4.21,1.2
3,4.21,1.2
4,4.21,1.2
1.5,4.21,1.2
2,4.21,1.2
3,4.21,1.2
4,4.21,1.2
5,4.21,1.2
1.5,4.21,1.8
2,4.21,1.8
3,4.21,1.8
5,4.21,1.8
1.5,4.21,1.8
2,4.21,1.8
3,4.21,1.8
4,4.21,1.8
5,4.21,1.8
1.5,4.21,2.2
2,4.21,2.2
3,4.21,2.2
4,4.21,2.2
5,4.21,2.2
1.5,4.21,2.2
3,4.21,2.2
4,4.21,2.2
5,4.21,2.2
1.5,4.68,0.8
2,4.68,0.8
4,4.68,0.8
5,4.68,0.8
1.5,4.68,0.8
2,4.68,0.8
3,4.68,0.8
4,4.68,0.8
5,4.68,0.8
1.5,4.68,0.9
2,4.68,0.9
3,4.68,0.9
5,4.68,0.9
1.5,4.68,0.9
3,4.68,0.9
4,4.68,0.9
5,4.68,0.9
1.5,4.4,2.2
2,4.4,2.2
4,4.4,2.2
5,4.4,2.2
1.5,4.4,2.2
2,4.4,2.2
3,4.4,2.2
4,4.4,2.2
5,4.4,2.2
1.5,4.4,2.3
3,4.4,2.3
4,4.4,2.3
5,4.4,2.3
1.5,4.4,2.3
2,4.4,2.3
3,4.4,2.3
4,4.4,2.3
5,4.4,2.3
2,4.4,2.2
3,4.4,2.2
4,4.4,2.2
5,4.4,2.2
1.5,4.4,2.2
2,4.4,2.2
3,4.4,2.2
4,4.4,2.2
5,4.4,2.2